PMID,Title
20801498,Effect of CYP2C19 and ABCB1 single nucleotide polymorphisms on outcomes of treatment with ticagrelor versus clopidogrel for acute coronary syndromes: a genetic substudy of the PLATO trial.
21614492,A candidate gene study of serotonergic pathway genes and pain relief during treatment with escitalopram in patients with neuropathic pain shows significant association to serotonin receptor2C (HTR2C).
16418702,Heterozygous mutation in CYP2C19 significantly increases the concentration/dose ratio of racemic citalopram and escitalopram (S-citalopram).
18834373,Influence of CYP2D6*10 on the pharmacokinetics of metoprolol in healthy Korean volunteers.
21502584,Pharmacogenomics: the genetics of variable drug responses.
18574025,The largest prospective warfarin-treated cohort supports genetic forecasting.
28624888,"Steady-state pharmacokinetics of mycophenolic acid in renal transplant patients: exploratory analysis of the effects of cyclosporine, recipients' and donors' ABCC2 gene variants, and their interactions."
15963082,Effect of concomitant dosing of famotidine with lansoprazole on gastric acid secretion in relation to CYP2C19 genotype status.
15213846,The risk of bleeding complications in patients with cytochrome P450 CYP2C9*2 or CYP2C9*3 alleles on acenocoumarol or phenprocoumon.
18538445,Distribution of gemcitabine pathway genotypes in ethnic Asians and their association with outcome in non-small cell lung cancer patients.
22547143,Added value of pharmacogenetic testing in predicting statin response: results from the REGRESS trial.
26421491,Effects of CYP3A4/5 and ABCB1 genetic polymorphisms on carbamazepine metabolism and transport in Chinese patients with epilepsy treated with carbamazepine in monotherapy and bitherapy.
14573314,Serotonin transporter polymorphisms and adverse effects with fluoxetine treatment.
24656015,Influence of cytochrome P450 3A5 polymorphisms on viral infection incidence in kidney transplant patients treated with tacrolimus.
21047201,Nucleotide excision repair gene polymorphisms may predict acute toxicity in patients treated with chemoradiotherapy for bladder cancer.
26307985,Impact of Single Nucleotide Polymorphisms (SNPs) on Immunosuppressive Therapy in Lung Transplantation.
16945988,"Contribution of CYP2C9, CYP2A6, and CYP2B6 to valproic acid metabolism in hepatic microsomes from individuals with the CYP2C9*1/*1 genotype."
23942138,SLCO1B1 genetic variant associated with statin-induced myopathy: a proof-of-concept study using the clinical practice research datalink.
21075428,The cytochrome 2C19*2 and *3 alleles attenuate response to clopidogrel similarly in East Asian patients undergoing elective percutaneous coronary intervention.
16201835,A C1173T dimorphism in the VKORC1 gene determines coumarin sensitivity and bleeding risk.
20584552,"The role of clinical variables, neuropsychological performance and SLC6A4 and COMT gene polymorphisms on the prediction of early response to fluoxetine in major depressive disorder."
27217270,Pharmacogenetic Associations of Antipsychotic Drug-Related Weight Gain: A Systematic Review and Meta-analysis.
25950242,Subjective response as a consideration in the pharmacogenetics of alcoholism treatment.
20350125,"Pharmacogenomics of membrane transporters: past, present and future."
26033222,Rasburicase-induced methaemoglobinaemia and G6PD deficiency in an unusual suspect.
15520364,Effects of the serotonin transporter gene promoter polymorphism on mirtazapine and paroxetine efficacy and adverse events in geriatric major depression.
19057464,Pharmacogenetic association of the APOA1/C3/A4/A5 gene cluster and lipid responses to fenofibrate: the genetics of lipid-lowering drugs and diet network study.
19801958,Association of IL-1B genetic polymorphisms with an increased risk of opioid and alcohol dependence.
21878834,Mycophenolic acid-related diarrhea is not associated with polymorphisms in SLCO1B nor with ABCB1 in renal transplant recipients.
26313268,"Effects of UGT1A1 genotype on the pharmacokinetics, pharmacodynamics, and toxicities of belinostat administered by 48-hour continuous infusion in patients with cancer."
16495778,Identification of a novel specific CYP2B6 allele in Africans causing impaired metabolism of the HIV drug efavirenz.
18281305,Impact of CYP2B6 983T&amp;gt;C polymorphism on non-nucleoside reverse transcriptase inhibitor plasma concentrations in HIV-infected patients.
22882994,Pharmacogenomic association between a variant in SLC47A1 gene and therapeutic response to metformin in type 2 diabetes.
19238167,Functional analysis of a mutation in the SLCO1B1 gene (c.1628T&amp;gt;G) identified in a Japanese patient with pravastatin-induced myopathy.
28139840,Novel Genetic Variants in Carboxylesterase 1 Predict Severe Early-Onset Capecitabine-Related Toxicity.
23394389,Characterization of the CYP2D6 gene locus and metabolic activity in Indo- and Afro-Trinidadians: discovery of novel allelic variants.
15614026,Single nucleotide polymorphisms predict the change in left ventricular mass in response to antihypertensive treatment.
15710002,Concomitant dosing of famotidine with a triple therapy increases the cure rates of Helicobacter pylori infections in patients with the homozygous extensive metabolizer genotype of CYP2C19.
18690342,An analysis of the relative effects of VKORC1 and CYP2C9 variants on anticoagulation related outcomes in warfarin-treated patients.
29333880,Pharmacogenetic analysis of opioid dependence treatment dose and dropout rate.
14998425,CYP2D6 and CYP3A4 involvement in the primary oxidative metabolism of hydrocodone by human liver microsomes.
25950190,Eradication of T315I mutation in chronic myeloid leukemia without third-generation tyrosine kinase inhibitor: a case report.
20029385,Weight gain related to treatment with atypical antipsychotics is due to activation of PKC-β.
12610741,CYP2D6*10 alleles do not determine plasma fluvoxamine concentration/dose ratio in Japanese subjects.
17018806,Monoamine transporter gene polymorphisms and antidepressant response in koreans with late-life depression.
22759796,The dual role of pharmacogenetics in HIV treatment: mutations and polymorphisms regulating antiretroviral drug resistance and disposition.
18687376,Association of dopamine and opioid receptor genetic polymorphisms with response to methadone maintenance treatment.
18322281,Genetic determinants of response to warfarin during initial anticoagulation.
24723432,Lack of influence of DAT1 and DRD2 gene variants on antidepressant response in generalized anxiety disorder.
20452521,Triglyceride-mediated pathways and coronary disease: collaborative analysis of 101 studies.
21037509,Variants of ADAMTS1 modify the effectiveness of statins in reducing the risk of myocardial infarction.
27507617,Genotype-Guided Dosing Study of FOLFIRI plus Bevacizumab in Patients with Metastatic Colorectal Cancer.
18444945,Association of four DNA polymorphisms with acute rejection after kidney transplantation.
26739304,High Resectability Rate of Initially Unresectable Colorectal Liver Metastases After UGT1A1-Adapted High-Dose Irinotecan Combined with LV5FU2 and Cetuximab: A Multicenter Phase II Study (ERBIFORT).
22885912,Serotonin transporter genotype and function in relation to antidepressant response in Koreans.
26977146,The Impacts of SLC22A1 rs594709 and SLC47A1 rs2289669 Polymorphisms on Metformin Therapeutic Efficacy in Chinese Type 2 Diabetes Patients.
16321621,"The role of common variants of ABCB1, CYP3A4, and CYP3A5 genes in lipid-lowering efficacy and safety of simvastatin treatment."
30366777,Functional characterization of 50 CYP2D6 allelic variants by assessing primaquine 5-hydroxylation.
20215968,KIF6 Trp719Arg polymorphism and the effect of statin therapy in elderly patients: results from the PROSPER study.
26894651,A candidate gene approach of the calcineurin pathway to identify variants associated with clinical outcomes in renal transplantation.
20118554,Effects of cigarette smoking and cytochrome P450 2D6 genotype on fluvoxamine concentration in plasma of Japanese patients.
17853254,Association study of paroxetine therapeutic response with SERT gene polymorphisms in patients with major depressive disorder.
21270786,CPIC: Clinical Pharmacogenetics Implementation Consortium of the Pharmacogenomics Research Network.
27714501,"IL28B rs12980275 and HLA rs4273729 genotypes as a powerful predictor factor for rapid, early, and sustained virologic response in patients with chronic hepatitis C."
22566560,Association between common variants near the melanocortin 4 receptor gene and severe antipsychotic drug-induced weight gain.
15350163,Tiotropium bromide. A review of its use as maintenance therapy in patients with COPD.
8013282,"The polymorphic cytochrome P-4502D6 is involved in the metabolism of both 5-hydroxytryptamine antagonists, tropisetron and ondansetron."
24725652,Methylenetetrahydrofolate reductase gene variants and antipsychotic-induced weight gain and metabolic disturbances.
26164721,"Individual and Combined Associations of Genetic Variants in CYP3A4, CYP3A5, and SLCO1B1 With Simvastatin and Simvastatin Acid Plasma Concentrations."
9149697,Polymorphisms of alpha-adducin and salt sensitivity in patients with essential hypertension.
17914325,Pharmacogenetics in modern psychiatry.
15739035,"BsmI vitamin D receptor genotypes influence the efficacy of antiresorptive treatments in postmenopausal osteoporotic women. A 1-year multicenter, randomized and controlled trial."
23279643,The VKORC1 and CYP2C9 genotypes are associated with over-anticoagulation during initiation of warfarin therapy in children.
25115783,Methaemoglobinaemia in a G6PD-deficient child treated with rasburicase.
23993903,PON1 Q192R genotype influences clopidogrel responsiveness by relative platelet inhibition instead of on-treatment platelet reactivity.
22960765,Inosine monophosphate dehydrogenase polymorphisms and renal allograft outcome.
25155933,Familial risk for alcohol dependence and developmental changes in BMI: the moderating influence of addiction and obesity genes.
22304582,Pharmacogenomics of the heptahelical receptor regulators G-protein-coupled receptor kinases and arrestins: the known and the unknown.
28745549,Prior opioid exposure influences parents' sharing of their children's CYP2D6 research results.
21174626,Practical recommendations for pharmacogenomics-based prescription: 2010 ESF-UB Conference on Pharmacogenetics and Pharmacogenomics.
8946471,A new CYP2D6 allele with a nine base insertion in exon 9 in a Japanese population associated with poor metabolizer phenotype.
18241283,Effect of CYP2C19*2 and *17 mutations on pharmacodynamics and kinetics of proton pump inhibitors in Caucasians.
26632884,A novel polymorphism near HLA class II region is associated with spontaneous clearance of HCV and response to interferon treatment in Chinese patients.
18784654,Genetic variation in the CYP2D6 gene is associated with a lower heart rate and blood pressure in beta-blocker users.
25461247,Genome-wide association study of virologic response with efavirenz-containing or abacavir-containing regimens in AIDS clinical trials group protocols.
22573495,Methemoglobinemia and hemolysis in a patient with G6PD deficiency treated with rasburicase.
22026923,Additive effect of GHRd3 and COLIA1 polymorphisms on the GH-substitution dose in GH-deficient adults.
26264253,Predictive factors for 24 weeks sustained virologic response (SVR24) and viral relapse in patients treated with simeprevir plus peginterferon and ribavirin.
26877068,Race-Specific Influence of CYP4F2 on Dose and Risk of Hemorrhage Among Warfarin Users.
2340091,"Human arylamine N-acetyltransferase genes: isolation, chromosomal localization, and functional expression."
22293536,PharmGKB summary:  caffeine pathway.
24590773,Germline variants in the CYP19A1 gene are related to specific adverse events in aromatase inhibitor users: a substudy of Dutch patients in the TEAM trial.
18797858,"Identification of a novel non-functional CYP2D6 allele, CYP2D6*69, in a Caucasian poor metabolizer individual."
18330458,Serotonin transporter genotype interacts with paroxetine plasma levels to influence depression treatment response in geriatric patients.
27439447,Serotonin transporter gene (SLC6A4) polymorphisms are associated with response to fluoxetine in south Indian major depressive disorder patients.
23150151,"Effect of the CYP2C19 2 and 3 genotypes, ABCB1 C3435T and PON1 Q192R alleles on the pharmacodynamics and adverse clinical events of clopidogrel in Chinese people after percutaneous coronary intervention."
11027924,Allelic variation in the serotonin transporter promoter affects onset of paroxetine treatment response in late-life depression.
20679962,Polymorphisms in type I and II inosine monophosphate dehydrogenase genes and association with clinical outcome in patients on mycophenolate mofetil.
26615671,Influence of combined CYP3A4 and CYP3A5 single-nucleotide polymorphisms on tacrolimus exposure in kidney transplant recipients: a study according to the post-transplant phase.
26536870,Associations between genetic variants and the effect of letrozole and exemestane on bone mass and bone turnover.
27548009,Association between DCK 35708 T&amp;gt;C variation and clinical outcomes of acute myeloid leukemia in South Chinese patients.
18398146,Variation in bleomycin hydrolase gene is associated with reduced survival after chemotherapy for testicular germ cell cancer.
9689128,Single-nucleotide polymorphism in the human mu opioid receptor gene alters beta-endorphin binding and activity: possible implications for opiate addiction.
27780742,Association of a TNFSF13B (BAFF) regulatory region single nucleotide polymorphism with response to rituximab in antineutrophil cytoplasmic antibody-associated vasculitis.
11926893,Association between CYP2C9 genetic variants and anticoagulation-related outcomes during warfarin therapy.
25329996,Effects of cytochrome P450 2C19 and paraoxonase 1 polymorphisms on antiplatelet response to clopidogrel therapy in patients with coronary artery disease.
10673478,The pharmacological properties of tiotropium.
18222353,Association of the Trp719Arg polymorphism in kinesin-like protein 6 with myocardial infarction and coronary heart disease in 2 prospective trials: the CARE and WOSCOPS trials.
23588314,"CYP3A5 genotype, but not CYP3A4*1b, CYP3A4*22, or hematocrit, predicts tacrolimus dose requirements in Brazilian renal transplant patients."
15703762,The genetics of human obesity.
19530961,Impact of apolipoprotein A5 variants on statin treatment efficacy.
27247849,Genetic variation and cognitive dysfunction in opioid-treated patients with cancer.
17289397,"Tolerability of statins is not linked to CYP450 polymorphisms, but reduced CYP2D6 metabolism improves cholesteraemic response to simvastatin and fluvastatin."
24019752,CYP2C19 polymorphisms in the Thai population and the clinical response to clopidogrel in patients with atherothrombotic-risk factors.
12955294,"The serotonin transporter polymorphism, 5HTTLPR, is associated with a faster response time to sertraline in an elderly population with major depressive disorder."
17726453,"Allelic variation in ApoC3, ApoA5 and LPL genes and first and second generation antipsychotic effects on serum lipids in patients with schizophrenia."
15467211,Nonlinear mixed effects model analysis of the pharmacokinetics of metoprolol in routinely treated Japanese patients.
17697394,Genetic polymorphisms in the 5-hydroxytryptamine type 3B receptor gene and paroxetine-induced nausea.
23920449,MC4R rs489693: a clinical risk factor for second generation antipsychotic-related weight gain?
23930676,Genetic variation in the PPARA gene is associated with simvastatin-mediated cholesterol reduction in the Rotterdam Study.
22927450,A single-nucleotide polymorphism in CYP2B6 leads to &amp;gt;3-fold increases in efavirenz concentrations in plasma and hair among HIV-infected women.
28002639,Clinical Pharmacogenetics Implementation Consortium (CPIC) guideline for CYP2D6 genotype and use of ondansetron and tropisetron.
9369411,Urate oxidase in prevention and treatment of hyperuricemia associated with lymphoid malignancies.
20235793,Pharmacogenetic influences on mycophenolate therapy.
25000516,NT5C3 polymorphisms and outcome of first induction chemotherapy in acute myeloid leukemia.
24415675,The association between fasting hypoglycemia and methylated mercaptopurine metabolites in children with acute lymphoblastic leukemia.
24220207,PharmGKB summary: mycophenolic acid pathway.
25751398,"Hypothalamic-pituitary-adrenal system, neurotrophic factors and clozapine response: association with FKBP5 and NTRK2 genes."
10507506,"Human cytochromes and some newer antidepressants: kinetics, metabolism, and drug interactions."
16874005,"Effects of the serotonin type 2A, 3A and 3B receptor and the serotonin transporter genes on paroxetine and fluvoxamine efficacy and adverse drug reactions in depressed Japanese patients."
25877345,CYP2C19 polymorphism and clinical outcomes among patients of different races treated with clopidogrel: A systematic review and meta-analysis.
18838503,"Expression and functional analysis of CYP2D6.24, CYP2D6.26, CYP2D6.27, and CYP2D7 isozymes."
23274376,Cisplatin-induced ototoxicity in pediatric solid tumors: the role of glutathione S-transferases and megalin genetic polymorphisms.
21449676,Clinical and genetic correlates of suicidal ideation during antidepressant treatment in a depressed outpatient sample.
15280927,UGT1A1 gene variations and irinotecan treatment in patients with metastatic colorectal cancer.
19770842,An inosine 5'-monophosphate dehydrogenase 2 single-nucleotide polymorphism impairs the effect of mycophenolic acid.
7202824,"Effects of age, cigarette smoking and the oral contraceptive on the pharmacokinetics of clomipramine and its desmethyl metabolite during chronic dosing."
17439540,SLCO1B1 521T--&amp;gt;C functional genetic polymorphism and lipid-lowering efficacy of multiple-dose pravastatin in Chinese coronary heart disease patients.
23809542,The CYP2C19*17 variant is not independently associated with clopidogrel response.
25155931,Rescue morphine in mechanically ventilated newborns associated with combined OPRM1 and COMT genotype.
18668430,Xenobiotic transporters of the human organic anion transporting polypeptides (OATP) family.
18261733,"Genetic variation at the LDL receptor and HMG-CoA reductase gene loci, lipid levels, statin response, and cardiovascular disease incidence in PROSPER."
25844821,Lansoprazole Is Associated with Worsening Asthma Control in Children with the CYP2C19 Poor Metabolizer Phenotype.
19005277,Increase in serum bilirubin in HIV/hepatitis-C virus-coinfected patients on atazanavir therapy following initiation of pegylated-interferon and ribavirin.
23856854,Positive effects of methylphenidate on hyperactivity are moderated by monoaminergic gene variants in children with autism spectrum disorders.
21121774,CYP1A2 genetic polymorphisms are associated with treatment response to the antidepressant paroxetine.
20031551,Pharmacogenetic predictors of statin-mediated low-density lipoprotein cholesterol reduction and dose response.
23209099,Lethal effect of a single dose of rasburicase in a preterm newborn infant.
21386754,"Cerivastatin, genetic variants, and the risk of rhabdomyolysis."
20127091,Ciprofloxacin-induced acute haemolytic anaemia in a patient with glucose-6-phosphate dehydrogenase Mediterranean deficiency: a case report.
24729586,Secondary metabolism pathway polymorphisms and plasma efavirenz concentrations in HIV-infected adults with CYP2B6 slow metabolizer genotypes.
16270629,VKORC1 haplotypes and their impact on the inter-individual and inter-ethnical variability of oral anticoagulation.
19671875,Nitric oxide synthase variants and disease-free survival among treated and untreated breast cancer patients in a Southwest Oncology Group clinical trial.
1451721,Steady-state plasma levels of clomipramine and its metabolites: impact of the sparteine/debrisoquine oxidation polymorphism. Danish University Antidepressant Group.
22094953,Associations of ABCB1 3435C&amp;gt;T and IL-10-1082G&amp;gt;A polymorphisms with long-term sirolimus dose requirements in renal transplant patients.
17587760,Zetia: inhibition of Niemann-Pick C1 Like 1 (NPC1L1) to reduce intestinal cholesterol absorption and treat hyperlipidemia.
23860572,Rasburicase causing severe oxidative hemolysis and methemoglobinemia in a patient with previously unrecognized glucose-6-phosphate dehydrogenase deficiency.
16580900,Environmental and genetic factors associated with morphine response in the postoperative period.
21332315,"Absorption, distribution, metabolism and excretion pharmacogenomics of drugs of abuse."
21684175,"alcohol, smoking, and caffeine in relation to fecundability, with effect modification by NAT2."
25974703,Clinical Pharmacogenetics Implementation Consortium (CPIC) Guideline for CYP2D6 and CYP2C19 Genotypes and Dosing of Selective Serotonin Reuptake Inhibitors.
12208565,No association between the serotonergic polymorphisms and incidence of nausea induced by fluvoxamine treatment.
24279859,BDNF rs6265 polymorphism and drug addiction: a systematic review and meta-analysis.
17215846,Pharmacogenomics-based tailored versus standard therapeutic regimen for eradication of H. pylori.
17507615,The CYP1A2 genotype modifies the association between coffee consumption and breast cancer risk among BRCA1 mutation carriers.
17606812,Association between a functional serotonin transporter promoter polymorphism and citalopram treatment in adult outpatients with major depression.
25323806,Effect of CYP2C19 polymorphisms on the clinical outcome of low-dose clobazam therapy in Japanese patients with epilepsy.
24710841,Effectiveness of clopidogrel dose escalation to normalize active metabolite exposure and antiplatelet effects in CYP2C19 poor metabolizers.
28834135,The Pharmacogenetics of Metformin in Women with Polycystic Ovary Syndrome: A Randomized Trial.
18855529,Interaction between PPARA genotype and beta-blocker treatment influences clinical outcomes following acute coronary syndromes.
22992578,Alleles at rs4273729 in the chromosome 6 do not predict response to peg-interferon-α and ribavirin therapy in hepatitis C virus/HIV-1-coinfected patients.
17724700,UGT2B7 promoter variant -840G&amp;gt;A contributes to the variability in hepatic clearance of morphine in patients with sickle cell disease.
21178985,Common nonsynonymous substitutions in SLCO1B1 predispose to statin intolerance in routinely treated individuals with type 2 diabetes: a go-DARTS study.
22915658,Epigenetic therapy using belinostat for patients with unresectable hepatocellular carcinoma: a multicenter phase I/II study with biomarker and pharmacokinetic analysis of tumors from patients in the Mayo Phase II Consortium and the Cancer Therapeutics Research Group.
10069510,Tiotropium (Spiriva): mechanistical considerations and clinical profile in obstructive lung disease.
15528295,"The novel apolipoprotein A5 is present in human serum, is associated with VLDL, HDL, and chylomicrons, and circulates at very low concentrations compared with other apolipoproteins."
26880915,Pharmacogenetics of Risperidone and Cardiovascular Risk in Children and Adolescents.
26801900,Pharmacogenetics driving personalized medicine: analysis of genetic polymorphisms related to breast cancer medications in Italian isolated populations.
22700043,Outcome definitions and clinical predictors influence pharmacogenetic associations between HTR3A gene polymorphisms and response to clozapine in patients with schizophrenia.
24084768,Aromatase inhibitor-induced modulation of breast density: clinical and genetic effects.
17600820,Physiogenomic association of statin-related myalgia to serotonin receptors.
10689270,beta2-adrenergic receptor polymorphisms at amino acid 16 differentially influence agonist-stimulated blood pressure and peripheral blood flow in normal individuals.
16855453,Phenotype-genotype relationship and clinical effects of citalopram in Chinese patients.
17434921,Association between CYP3A4 genotype and risk of endometrial cancer following tamoxifen use.
18195729,Glycogen synthase kinase-3beta gene is associated with antidepressant treatment response in Chinese major depressive disorder.
17228018,Cisplatin-induced long-term hearing impairment is associated with specific glutathione s-transferase genotypes in testicular cancer survivors.
22967772,Pharmacogenomic associations with weight gain in olanzapine treatment of patients without schizophrenia.
19606452,"Rapid response to paroxetine is associated with plasma paroxetine levels at 4 but not 8 weeks of treatment, and is independent of serotonin transporter promoter polymorphism in Japanese depressed patients."
28261382,Efficacy and safety of telaprevir- and simeprevir-based triple therapies for older patients with chronic hepatitis C.
23545896,Influence of CYP2D6 and CYP2C19 gene variants on antidepressant response in obsessive-compulsive disorder.
15608561,Response to micronized fenofibrate treatment is associated with the peroxisome-proliferator-activated receptors alpha G/C intron7 polymorphism in subjects with type 2 diabetes.
27524899,Long-term administration of escitalopram in patients with social anxiety disorder in Japan.
20386359,"Gene-based warfarin dosing compared with standard of care practices in an orthopedic surgery population: a prospective, parallel cohort study."
30368523,Replication of the pharmacogenetic effect of rs678849 on buprenorphine efficacy in African-Americans with opioid use disorder.
18850169,"Coffee, CYP1A2 genotype and risk of myocardial infarction."
25504915,Factors affecting time to maintenance dose in patients initiating warfarin.
24193112,An investigation of CYP2D6 genotype and response to metoprolol CR/XL during dose titration in patients with heart failure: a MERIT-HF substudy.
1356742,Pharmacokinetics and metabolism of the 5-hydroxytryptamine antagonist tropisetron after single oral doses in humans.
26107755,Metabolic side effects and pharmacogenetics of second-generation antipsychotics in children.
19272758,Serotonin transporter promoter region polymorphisms do not influence treatment response to escitalopram in patients with major depression.
